id,recolector_prenda_id,recolector_nombre,recolector_tipo,recolector_precio,recolector_activo,prenda_id,lavandero_nombre,lavandero_tipo,lavandero_precio,lavandero_activo,diferencia_precio,created_at,updated_at
1,12,ABRIGO O GABARDINA,LAVADO,22000.00,t,34,ABRIGO O GABARDINA,LAVADO,2400.00,t,19600.00,2026-08-10 14:57:26,2026-08-10 14:57:26
2,16,BATAS,LAVADO,18000.00,t,53,BATAS,LAVADO,0.00,t,18000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
3,17,BLUSAS,LAVADO,9000.00,t,54,BLUSAS,LAVADO,0.00,t,9000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
55,64,BUSO,LAVADO,15000.00,f,99,BUSO,LAVADO,0.00,f,15000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
4,20,CAMISAS,LAVADO,9000.00,t,4,CAMISAS,LAVADO,900.00,t,8100.00,2026-08-10 14:57:26,2026-08-10 14:57:26
56,60,CAMISETAS,LAVADO,5000.00,f,100,CAMISETAS,LAVADO,0.00,f,5000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
5,37,CASCO,LAVADO,30000.00,t,13,CASCO,LAVADO,3000.00,t,27000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
6,38,CASCO ABIERTO,LAVADO,25000.00,t,55,CASCO ABIERTO,LAVADO,0.00,t,25000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
7,18,CHALECOS,LAVADO,8000.00,t,37,CHALECOS,LAVADO,900.00,t,7100.00,2026-08-10 14:57:26,2026-08-10 14:57:26
8,6,CHAQUETA DELGADA CORTA,LAVADO,18000.00,t,56,CHAQUETA DELGADA CORTA,LAVADO,0.00,t,18000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
9,9,CHAQUETA DELGADA PEQUEÑA DAMA O NIÑO,LAVADO,15000.00,t,57,CHAQUETA DELGADA PEQUEÑA DAMA O NIÑO,LAVADO,0.00,t,15000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
10,7,CHAQUETA GRUESA CORTA,LAVADO,20000.00,t,58,CHAQUETA GRUESA CORTA,LAVADO,0.00,t,20000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
11,8,CHAQUETA GRUESA LARGA,LAVADO,25000.00,t,59,CHAQUETA GRUESA LARGA,LAVADO,0.00,t,25000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
12,11,CHAQUETA PLUMA DE GANSO,LAVADO,38000.00,t,60,CHAQUETA PLUMA DE GANSO,LAVADO,0.00,t,38000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
13,27,COBIJA - CAMA DOBLE DELGADA,LAVADO,18000.00,t,61,COBIJA - CAMA DOBLE DELGADA,LAVADO,0.00,t,18000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
14,28,COBIJA - CAMA DOBLE GRUESA,LAVADO,20000.00,t,62,COBIJA - CAMA DOBLE GRUESA,LAVADO,0.00,t,20000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
15,26,COBIJA - CAMA SENCILLA DELGADA,LAVADO,15000.00,t,63,COBIJA - CAMA SENCILLA DELGADA,LAVADO,0.00,t,15000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
16,29,COBIJA - CAMA SENCILLA GRUESA,LAVADO,17999.99,t,64,COBIJA - CAMA SENCILLA GRUESA,LAVADO,0.00,t,17999.99,2026-08-10 14:57:26,2026-08-10 14:57:26
57,61,CORBATA,LAVADO,1500.00,f,25,CORBATA,LAVADO,200.00,f,1300.00,2026-08-10 14:57:27,2026-08-10 14:57:27
58,2,CORTINA,LAVADO,32000.00,f,21,CORTINA,LAVADO,1200.00,f,30800.00,2026-08-10 14:57:27,2026-08-10 14:57:27
17,22,CORTINA Grd,LAVADO,25000.00,t,65,CORTINA Grd,LAVADO,0.00,t,25000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
18,23,CORTINA MD,LAVADO,18000.00,t,66,CORTINA MD,LAVADO,0.00,t,18000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
19,24,CORTINA PQ,LAVADO,15000.00,t,67,CORTINA PQ,LAVADO,0.00,t,15000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
20,30,CUBRELECHO - CAMA DOBLE DELGADA,LAVADO,20000.00,t,68,CUBRELECHO - CAMA DOBLE DELGADA,LAVADO,0.00,t,20000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
21,25,CUBRELECHO - CAMA DOBLE GRUESA,LAVADO,25000.00,t,69,CUBRELECHO - CAMA DOBLE GRUESA,LAVADO,0.00,t,25000.00,2026-08-10 14:57:26,2026-08-10 14:57:26
22,32,CUBRELECHO - CAMA SENCILLA DELGADA,LAVADO,18000.00,t,70,CUBRELECHO - CAMA SENCILLA DELGADA,LAVADO,0.00,t,18000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
23,31,CUBRELECHO - CAMA SENCILLA GRUESA,LAVADO,22000.00,t,71,CUBRELECHO - CAMA SENCILLA GRUESA,LAVADO,0.00,t,22000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
59,3,EDREDON,LAVADO,45000.00,f,101,EDREDON,LAVADO,0.00,f,45000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
60,63,ENTERIZO,LAVADO,25000.00,f,102,ENTERIZO,LAVADO,0.00,f,25000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
24,19,FALDAS,LAVADO,9000.00,t,72,FALDAS,LAVADO,0.00,t,9000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
25,13,JARDINERA,LAVADO,25000.00,t,35,JARDINERA,LAVADO,1000.00,t,24000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
61,62,MEDIAS PAR,LAVADO,2000.00,f,103,MEDIAS PAR,LAVADO,0.00,f,2000.00,2026-08-10 14:57:28,2026-08-10 14:57:28
26,15,PANTALON,LAVADO,9000.00,t,2,PANTALON,LAVADO,900.00,t,8100.00,2026-08-10 14:57:27,2026-08-10 14:57:27
27,46,PELUCHE 30 cm,LAVADO,25000.00,t,73,PELUCHE 30 cm,LAVADO,0.00,t,25000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
28,45,PELUCHE 40cm,LAVADO,35000.00,t,74,PELUCHE 40cm,LAVADO,0.00,t,35000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
29,44,PELUCHE 50cm,LAVADO,42000.00,t,75,PELUCHE 50cm,LAVADO,0.00,t,42000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
30,43,PELUCHE 60cm,LAVADO,47999.99,t,76,PELUCHE 60cm,LAVADO,0.00,t,47999.99,2026-08-10 14:57:27,2026-08-10 14:57:27
31,42,PELUCHE 70cm,LAVADO,52000.00,t,77,PELUCHE 70cm,LAVADO,0.00,t,52000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
32,41,PELUCHE 80cm - 100cm,LAVADO,75000.00,t,78,PELUCHE 80cm - 100cm,LAVADO,0.00,t,75000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
33,54,PLANCHADO (c/u),ADICIONAL,6000.00,t,79,PLANCHADO (c/u),ADICIONAL,0.00,t,6000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
34,34,PLUMON - CAMA DOBLE,LAVADO,42000.00,t,80,PLUMON - CAMA DOBLE,LAVADO,0.00,t,42000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
35,33,PLUMON - CAMA SENCILLA,LAVADO,38000.00,t,81,PLUMON - CAMA SENCILLA,LAVADO,0.00,t,38000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
36,55,POR KILO (4 prendas pq =1kg),ADICIONAL,25000.00,t,82,POR KILO (4 prendas pq =1kg),ADICIONAL,0.00,t,25000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
37,35,SABANA - CAMA DOBLE,LAVADO,20000.00,t,83,SABANA - CAMA DOBLE,LAVADO,0.00,t,20000.00,2026-08-10 14:57:27,2026-08-10 14:57:27
38,36,SABANA - CAMA SENCILLA,LAVADO,17999.99,t,84,SABANA - CAMA SENCILLA,LAVADO,0.00,t,17999.99,2026-08-10 14:57:27,2026-08-10 14:57:27
