id,nombre,tipo,precio,activo,created_at,updated_at
34,ABRIGO O GABARDINA,LAVADO,2400.00,t,2026-05-09 02:12:04,2026-05-09 02:12:04
53,BATAS,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
54,BLUSAS,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
4,CAMISAS,LAVADO,900.00,t,2026-05-09 01:57:39,2026-06-20 00:21:54
13,CASCO,LAVADO,3000.00,t,2026-05-09 02:00:49,2026-05-09 02:00:49
55,CASCO ABIERTO,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
37,CHALECOS,LAVADO,900.00,t,2026-05-09 02:13:03,2026-05-09 02:13:03
56,CHAQUETA DELGADA CORTA,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
57,CHAQUETA DELGADA PEQUEÑA DAMA O NIÑO,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
58,CHAQUETA GRUESA CORTA,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
59,CHAQUETA GRUESA LARGA,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
60,CHAQUETA PLUMA DE GANSO,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
61,COBIJA - CAMA DOBLE DELGADA,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
62,COBIJA - CAMA DOBLE GRUESA,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
63,COBIJA - CAMA SENCILLA DELGADA,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
64,COBIJA - CAMA SENCILLA GRUESA,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
65,CORTINA Grd,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
66,CORTINA MD,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
67,CORTINA PQ,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
68,CUBRELECHO - CAMA DOBLE DELGADA,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
69,CUBRELECHO - CAMA DOBLE GRUESA,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
70,CUBRELECHO - CAMA SENCILLA DELGADA,LAVADO,0.00,t,2026-08-10 14:57:26,2026-08-10 14:57:26
71,CUBRELECHO - CAMA SENCILLA GRUESA,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
72,FALDAS,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
35,JARDINERA,LAVADO,1000.00,t,2026-05-09 02:12:24,2026-05-09 02:12:24
2,PANTALON,LAVADO,900.00,t,2026-05-02 17:12:50,2026-05-09 01:57:22
73,PELUCHE 30 cm,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
74,PELUCHE 40cm,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
75,PELUCHE 50cm,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
76,PELUCHE 60cm,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
77,PELUCHE 70cm,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
78,PELUCHE 80cm - 100cm,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
79,PLANCHADO (c/u),ADICIONAL,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
80,PLUMON - CAMA DOBLE,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
81,PLUMON - CAMA SENCILLA,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
82,POR KILO (4 prendas pq =1kg),ADICIONAL,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
83,SABANA - CAMA DOBLE,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
84,SABANA - CAMA SENCILLA,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
85,SACOS DE VESTIDO,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
86,"SECADO ( cobijas, cubrelechos)",ADICIONAL,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
87,"SECADO (prendas de vestir, sabanas, manteles)",ADICIONAL,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
39,SERVICIO PREMIUM,EXTRA,1000.00,t,2026-05-09 02:14:59,2026-05-09 02:14:59
38,SUETERS,LAVADO,850.00,t,2026-05-09 02:13:41,2026-05-09 02:13:41
88,TAPETE (1m^2),LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
89,TAPETE (2m^2),LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
90,TAPETE (3m^2),LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
91,TAPETE (4m^2),LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
92,TAPETE (5m^2),LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
93,TAPETE (6m^2),LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
94,TAPETE GRUESO (6m^2),LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
95,VESTIDO DE CABALLERO,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
96,VESTIDO DE DAMA,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
97,ZAPATOS GRD,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
98,ZAPATOS PQ,LAVADO,0.00,t,2026-08-10 14:57:27,2026-08-10 14:57:27
52,Abrigo,Lavado Seco,45000.00,f,2026-07-30 20:54:26,2026-08-10 14:58:17
27,ALBAS,LAVADO,1200.00,f,2026-05-09 02:05:59,2026-08-10 14:58:17
19,ALFOMBRA GR,LAVADO,12000.00,f,2026-05-09 02:03:01,2026-08-10 14:58:17
14,ALFOMBRA PQ,LAVADO,10000.00,f,2026-05-09 02:01:00,2026-08-10 14:58:17
26,AMACA,LAVADO,1200.00,f,2026-05-09 02:05:35,2026-08-10 14:58:17
36,BATA,LAVADO,800.00,f,2026-05-09 02:12:39,2026-08-10 14:58:17
31,BLUSA,LAVADO,850.00,f,2026-05-09 02:07:07,2026-08-10 14:58:17
44,BUFANDA,LAVADO,500.00,f,2026-05-16 01:56:14,2026-08-10 14:58:17
99,BUSO,LAVADO,0.00,f,2026-08-10 14:57:27,2026-08-10 14:57:27
50,Camisa,Normal,12500.00,f,2026-06-20 16:47:53,2026-08-10 14:58:17
10,CAMISETA,LAVADO,600.00,f,2026-05-09 01:59:18,2026-08-10 14:58:17
100,CAMISETAS,LAVADO,0.00,f,2026-08-10 14:57:27,2026-08-10 14:57:27
1,CHAQUETA,LAVADO,1200.00,f,2026-05-02 17:12:50,2026-08-10 14:58:17
3,COBIJA,LAVADO,1200.00,f,2026-05-02 17:12:50,2026-08-10 14:58:17
30,COJIN,LAVADO,700.00,f,2026-05-09 02:06:46,2026-08-10 14:58:17
45,COLCHON,LAVADO,17500.00,f,2026-05-16 02:07:03,2026-08-10 14:58:17
25,CORBATA,LAVADO,200.00,f,2026-05-09 02:05:22,2026-08-10 14:57:27
21,CORTINA,LAVADO,1200.00,f,2026-05-09 02:03:31,2026-08-10 14:57:27
40,DELANTAL,LAVADO,400.00,f,2026-05-09 02:27:48,2026-08-10 14:58:17
101,EDREDON,LAVADO,0.00,f,2026-08-10 14:57:27,2026-08-10 14:57:27
102,ENTERIZO,LAVADO,0.00,f,2026-08-10 14:57:27,2026-08-10 14:57:27
7,FALDA,LAVADO,900.00,f,2026-05-09 01:58:15,2026-08-10 14:58:17
