id,nombre,tipo,precio,activo,created_at,updated_at
12,ABRIGO O GABARDINA,LAVADO,22000.00,t,2026-05-08 15:18:26,2026-08-10 15:06:51
16,BATAS,LAVADO,18000.00,t,2026-05-08 15:18:30,2026-08-10 15:06:51
17,BLUSAS,LAVADO,9000.00,t,2026-05-08 15:18:31,2026-08-10 15:06:51
20,CAMISAS,LAVADO,9000.00,t,2026-05-08 15:18:33,2026-08-10 15:06:51
37,CASCO,LAVADO,30000.00,t,2026-05-08 15:18:48,2026-08-10 15:06:51
38,CASCO ABIERTO,LAVADO,25000.00,t,2026-05-08 15:18:49,2026-08-10 15:06:51
18,CHALECOS,LAVADO,8000.00,t,2026-05-08 15:18:32,2026-08-10 15:06:51
6,CHAQUETA DELGADA CORTA,LAVADO,18000.00,t,2026-05-08 15:18:21,2026-08-10 15:06:51
9,CHAQUETA DELGADA PEQUEÑA DAMA O NIÑO,LAVADO,15000.00,t,2026-05-08 15:18:24,2026-08-10 15:06:51
7,CHAQUETA GRUESA CORTA,LAVADO,20000.00,t,2026-05-08 15:18:22,2026-08-10 15:06:51
8,CHAQUETA GRUESA LARGA,LAVADO,25000.00,t,2026-05-08 15:18:23,2026-08-10 15:06:51
11,CHAQUETA PLUMA DE GANSO,LAVADO,38000.00,t,2026-05-08 15:18:25,2026-08-10 15:06:51
27,COBIJA - CAMA DOBLE DELGADA,LAVADO,18000.00,t,2026-05-08 15:18:40,2026-08-10 15:06:51
28,COBIJA - CAMA DOBLE GRUESA,LAVADO,20000.00,t,2026-05-08 15:18:40,2026-08-10 15:06:51
26,COBIJA - CAMA SENCILLA DELGADA,LAVADO,15000.00,t,2026-05-08 15:18:39,2026-08-10 15:06:51
29,COBIJA - CAMA SENCILLA GRUESA,LAVADO,17999.99,t,2026-05-08 15:18:41,2026-08-10 15:06:51
22,CORTINA Grd,LAVADO,25000.00,t,2026-05-08 15:18:35,2026-08-10 15:06:51
23,CORTINA MD,LAVADO,18000.00,t,2026-05-08 15:18:36,2026-08-10 15:06:51
24,CORTINA PQ,LAVADO,15000.00,t,2026-05-08 15:18:37,2026-08-10 15:06:51
30,CUBRELECHO - CAMA DOBLE DELGADA,LAVADO,20000.00,t,2026-05-08 15:18:42,2026-08-10 15:06:51
25,CUBRELECHO - CAMA DOBLE GRUESA,LAVADO,25000.00,t,2026-05-08 15:18:38,2026-08-10 15:06:51
32,CUBRELECHO - CAMA SENCILLA DELGADA,LAVADO,18000.00,t,2026-05-08 15:18:44,2026-08-10 15:06:51
31,CUBRELECHO - CAMA SENCILLA GRUESA,LAVADO,22000.00,t,2026-05-08 15:18:43,2026-08-10 15:06:51
19,FALDAS,LAVADO,9000.00,t,2026-05-08 15:18:33,2026-08-10 15:06:51
13,JARDINERA,LAVADO,25000.00,t,2026-05-08 15:18:27,2026-08-10 15:06:51
15,PANTALON,LAVADO,9000.00,t,2026-05-08 15:18:29,2026-08-10 15:06:51
46,PELUCHE 30 cm,LAVADO,25000.00,t,2026-05-08 15:18:56,2026-08-10 15:06:51
45,PELUCHE 40cm,LAVADO,35000.00,t,2026-05-08 15:18:56,2026-08-10 15:06:51
44,PELUCHE 50cm,LAVADO,42000.00,t,2026-05-08 15:18:55,2026-08-10 15:06:51
43,PELUCHE 60cm,LAVADO,47999.99,t,2026-05-08 15:18:54,2026-08-10 15:06:51
42,PELUCHE 70cm,LAVADO,52000.00,t,2026-05-08 15:18:53,2026-08-10 15:06:51
41,PELUCHE 80cm - 100cm,LAVADO,75000.00,t,2026-05-08 15:18:52,2026-08-10 15:06:51
54,PLANCHADO (c/u),ADICIONAL,6000.00,t,2026-05-08 15:19:04,2026-08-10 15:06:51
34,PLUMON - CAMA DOBLE,LAVADO,42000.00,t,2026-05-08 15:18:46,2026-08-10 15:06:51
33,PLUMON - CAMA SENCILLA,LAVADO,38000.00,t,2026-05-08 15:18:45,2026-08-10 15:06:51
55,POR KILO (4 prendas pq =1kg),ADICIONAL,25000.00,t,2026-05-08 15:19:04,2026-08-10 15:06:51
35,SABANA - CAMA DOBLE,LAVADO,20000.00,t,2026-05-08 15:18:47,2026-08-10 15:06:51
36,SABANA - CAMA SENCILLA,LAVADO,17999.99,t,2026-05-08 15:18:48,2026-08-10 15:06:51
14,SACOS DE VESTIDO,LAVADO,18000.00,t,2026-05-08 15:18:28,2026-08-10 15:06:51
58,"SECADO ( cobijas, cubrelechos)",ADICIONAL,14999.99,t,2026-05-08 15:19:07,2026-08-10 15:06:51
57,"SECADO (prendas de vestir, sabanas, manteles)",ADICIONAL,10000.00,t,2026-05-08 15:19:06,2026-08-10 15:06:51
56,SERVICIO PREMIUM,EXTRA,8000.00,t,2026-05-08 15:19:05,2026-08-10 15:06:51
21,SUETERS,LAVADO,15000.00,t,2026-05-08 15:18:34,2026-08-10 15:06:51
47,TAPETE (1m^2),LAVADO,20000.00,t,2026-05-08 15:18:57,2026-08-10 15:06:51
48,TAPETE (2m^2),LAVADO,37000.00,t,2026-05-08 15:18:58,2026-08-10 15:06:51
49,TAPETE (3m^2),LAVADO,45000.00,t,2026-05-08 15:18:59,2026-08-10 15:06:51
50,TAPETE (4m^2),LAVADO,57999.99,t,2026-05-08 15:19:00,2026-08-10 15:06:51
52,TAPETE (5m^2),LAVADO,65000.00,t,2026-05-08 15:19:02,2026-08-10 15:06:51
51,TAPETE (6m^2),LAVADO,72000.00,t,2026-05-08 15:19:01,2026-08-10 15:06:51
53,TAPETE GRUESO (6m^2),LAVADO,85000.00,t,2026-05-08 15:19:03,2026-08-10 15:06:51
4,VESTIDO DE CABALLERO,LAVADO,24000.00,t,2026-05-08 15:18:19,2026-08-10 15:06:51
5,VESTIDO DE DAMA,LAVADO,24000.00,t,2026-05-08 15:18:20,2026-08-10 15:06:51
39,ZAPATOS GRD,LAVADO,28000.00,t,2026-05-08 15:18:50,2026-08-10 15:06:51
40,ZAPATOS PQ,LAVADO,20000.00,t,2026-05-08 15:18:51,2026-08-10 15:06:51
64,BUSO,LAVADO,15000.00,f,2026-07-30 03:34:00,2026-08-10 15:06:50
60,CAMISETAS,LAVADO,5000.00,f,2026-06-20 18:42:01,2026-08-10 15:06:50
61,CORBATA,LAVADO,1500.00,f,2026-06-20 18:42:22,2026-08-10 15:06:50
2,CORTINA,LAVADO,32000.00,f,2026-05-02 17:12:51,2026-08-10 15:06:50
3,EDREDON,LAVADO,45000.00,f,2026-05-02 17:12:51,2026-08-10 15:06:50
63,ENTERIZO,LAVADO,25000.00,f,2026-07-03 20:01:58,2026-08-10 15:06:50
62,MEDIAS PAR,LAVADO,2000.00,f,2026-06-20 18:42:44,2026-08-10 15:06:50
